Trial,subjID,resp_iscorrect,verif_rt,descr_rt,T_verb,P_type,verif_ans,P_sentence,clear_responses,isactive,syn_voice,syn_corr,error_type_old,error_type,message
39,3,0,1.384166667,4.285555556,scold,AC,0,The waitress scolds the boxer.,The soldier scolds the woman.,1,A,C,,0,
40,3,1,2.431944444,11.66361111,follow,PC,1,The ballerina is followed by the pirate.,A solider is followed by the monk.,0,P,C,,0,
41,3,0,2.070277778,3.691666667,punch,AC,0,The cowboy punches the nun.,A painter punch the monk.,1,A,C,,1,
42,3,0,1.836944444,4.978611111,punch,PC,0,The policeman is punched by the artist.,A cowboy punch the woman.,1,P,C,,1,
43,3,0,1.649444444,3.066111111,shoot,AI,0,The actress shoot the robber.,The chef shoot the boxer.,1,A,I,,1,
44,3,1,1.321666667,3.233611111,follow,PC,0,The ballerina is followed by the pirate.,A boxer is followed by the monk.,0,P,C,,0,
45,3,1,1.639166667,8.728055556,chase,AC,0,The policeman chases the robber.,The swimmer is chased by the policeman.,0,A,C,,0,
46,3,1,1.735277778,4.8875,slap,PC,1,The clown is slapped by the policeman.,The sailor is slapped by the cowboy.,0,P,C,,0,
47,3,1,1.285833333,4.323333333,punch,AC,1,The cowboy punches the swimmer.,The painter punches the joker.,1,A,C,,0,
48,3,0,1.651111111,6.706111111,scold,PC,0,The monk is scolded by the swimmer.,The professor scolds the security guy.,1,P,C,,0,
49,3,0,0.7980555556,2.869444444,tickle,AI,0,The soldier tickle the boxer.,The waitress tickles the doctor.,1,A,I,,0,
50,3,0,0.9280555556,4.696666667,pull,PI,0,The waitress is pullen by the pirate.,The joker is pullen by the boxer.,0,P,I,,1,
51,3,1,1.636111111,3.345833333,slap,AC,1,The cowboy slaps the professor.,The policeman slaps the swimmer.,1,A,C,,0,
52,3,1,0.9683333333,10.86361111,touch,PI,1,The doctor is touchen by the waitress.,The clown is touchen by the sailor.,1,P,I,,1,
53,3,1,0.8602777778,4.725833333,touch,AI,0,The waitress touch the professor.,The sailor touch the swimmer.,1,A,I,,1,
54,3,1,1.363055556,3.946944444,shoot,PI,1,The ballerina is shooted by the artist.,The swimmer is shooted by the chef.,0,P,I,,1,
55,3,1,0.5733333333,3.2075,kick,AI,1,The policeman kick the boxer.,The waitress kick the clown.,1,A,I,,1,
56,3,1,0.9783333333,3.503055556,kiss,PC,1,The boxer is kissed by the artist.,The ballerina is kissed by the nun.,0,P,C,,0,
57,3,1,0.6772222222,2.9575,scold,AC,1,The policeman scolds the doctor.,The professor scolds the sailor.,1,A,C,,0,
58,3,0,1.395833333,6.345277778,kick,PI,0,The clown is kicken by the nun.,The waitress kicks the thief.,1,P,I,,0,
59,3,1,1.166944444,4.711944444,kiss,AC,0,The pirate kisses the clown.,The police is kissed by the artist.,0,A,C,,0,
60,3,1,1.879166667,3.988055556,scold,PC,1,The doctor is scolded by the professor.,The boxer is scolded by the policeman.,0,P,C,,0,
61,3,1,1.000555556,4.014444444,push,AI,1,The chef push the clown.,A cowboy push the swimmer.,1,A,I,,1,
62,3,1,0.7783333333,2.996666667,chase,PC,0,The swimmer is chased by the nun.,The doctor is chased by the waitress.,0,P,C,,0,
63,3,1,0.6444444444,4.214166667,chase,AC,1,The nun chases the sailor.,The policeman chases the thief.,1,A,C,,0,
64,3,1,1.786388889,6.3125,slap,PC,0,The nurse is slapped by  the policeman.,The cowboy slapped the ballerina.,1,P,C,,0,
65,3,1,0.8527777778,5.650277778,follow,AC,0,The nun follows the cowboy.,The pirate follows the doctor.,1,A,C,,0,
66,3,1,0.9933333333,4.738888889,chase,PC,1,The monk is chased by the policeman.,The thief is chased by the pirate.,0,P,C,,0,
67,3,1,0.7211111111,2.877222222,follow,AC,1,The nun follows the doctor.,The pirate follows the sailor.,1,A,C,,0,
68,3,1,1.010833333,3.971388889,tickle,PI,1,The robber is ticklen by the soldier.,The waitress tickles the monk.,1,P,I,,0,
69,3,1,0.8275,2.610555556,slap,AC,0,The cowboy slaps the ballerina.,The policeman slaps the boxer.,1,A,C,,0,
70,3,1,0.8483333333,3.724166667,kiss,PC,0,The monk is kissed by the swimmer.,The artist kisses the clown.,1,P,C,,0,
71,3,1,1.618055556,2.585,kiss,AC,1,The artist kisses the ballerina.,The nun kisses the boxer.,1,A,C,,0,
72,3,1,1.771666667,3.603333333,punch,PC,1,The ballerina is punched by the artist.,The cowboy punches the doctor.,1,P,C,,0,
73,4,0,1.261666667,5.176111111,tickle,AI,0,The soldier tickle the boxer.,The waitress tickles the doctor.,1,A,I,,0,
74,4,1,2.426111111,10.14138889,slap,PC,0,The nurse is slapped by  the policeman.,The ballerina is slapped by the cowboy.,0,P,C,,0,
75,4,1,1.7325,12.45027778,chase,AC,1,The nun chases the sailor.,The policeman chases the prisoner.,1,A,C,,0,
76,4,1,1.193055556,4.928055556,slap,PC,1,The clown is slapped by the policeman.,The sailor is slapped by the cowboy.,0,P,C,,0,
77,4,1,1.416944444,6.241111111,push,AI,1,The chef push the clown.,The cowboy pushes the swimmer.,1,A,I,,0,
78,4,1,1.706111111,5.665277778,follow,PC,0,The ballerina is followed by the pirate.,The nun is following the boxer.,1,P,C,,0,
79,4,1,1.377777778,6.0675,slap,AC,1,The cowboy slaps the professor.,The policeman slaps the swimmer.,1,A,C,,0,
80,4,1,1.388888889,8.063055556,punch,PC,0,The policeman is punched by the artist.,The cowboy punches the ballerina.,1,P,C,,0,
81,4,1,1.0475,3.912222222,punch,AC,1,The cowboy punches the swimmer.,The artist punches the clown.,1,A,C,,0,
82,4,1,1.347777778,3.373611111,kiss,PC,0,The monk is kissed by the swimmer.,The clown is kissed by the artist.,0,P,C,,0,
83,4,1,1.053611111,3.287777778,follow,AC,0,The nun follows the cowboy.,The pirate follows the doctor.,1,A,C,,0,
84,4,1,0.8580555556,5.329722222,kiss,PC,1,The boxer is kissed by the artist.,The ballerina is kissed by the nun.,0,P,C,,0,
85,4,1,1.959444444,4.120833333,pull,AI,1,The boxer pull the soldier.,The ballerina is pulled by the pirate.,0,A,I,,0,
86,4,1,1.1625,4.021388889,scold,PC,1,The doctor is scolded by the professor.,The boxer is scolded by the policeman.,0,P,C,,0,
87,4,1,0.8822222222,3.331944444,touch,AI,0,The waitress touch the professor.,The swimmer is touched by the sailor.,0,A,I,,0,
88,4,1,1.401944444,3.3475,touch,PI,1,The doctor is touchen by the waitress.,The clown is touched by the sailor.,0,P,I,,0,
89,4,1,1.114444444,3.6675,scold,AC,0,The waitress scolds the boxer.,The policeman scolds the ballerina.,1,A,C,,0,
90,4,1,1.007777778,3.705555556,pull,PI,0,The waitress is pullen by the pirate.,The clown is pulled by the boxer.,0,P,I,,0,
91,4,1,2.384444444,3.51,chase,AC,0,The policeman chases the robber.,The policeman chases the swimmer.,1,A,C,,0,
92,4,1,0.7741666667,2.974444444,kick,PI,0,The clown is kicken by the nun.,The waitress kicks the robber.,1,P,I,,0,
93,4,1,0.4713888889,4.551666667,kiss,AC,0,The pirate kisses the clown.,The artist kisses the soldier.,1,A,C,,0,
94,4,1,0.6602777778,5.378888889,push,PI,0,The monk is pushen by the policeman.,The cowboy pushes the ballerina.,1,P,I,,0,
95,4,1,2.5375,10.62138889,shoot,AI,0,The actress shoot the robber.,The chef shoots the boxer.,1,A,I,,0,
96,4,1,2.851666667,3.29,follow,PC,1,The ballerina is followed by the pirate.,The soldier is followed by the nun.,0,P,C,,0,
97,4,1,1.133333333,3.315,follow,AC,1,The nun follows the doctor.,The sailor is followed by the pirate.,0,A,C,,0,
98,4,1,0.7894444444,4.290277778,chase,PC,0,The swimmer is chased by the nun.,The waitress chases the doctor.,1,P,C,,0,
99,4,1,0.7516666667,6.100277778,scold,AC,1,The policeman scolds the doctor.,The professor scolds the sailor.,1,A,C,,0,
100,4,1,2.231111111,5.143611111,tickle,PI,1,The robber is ticklen by the soldier.,The monk is tickled by the waitress.,0,P,I,,0,
101,4,1,0.6166666667,2.536666667,kiss,AC,1,The artist kisses the ballerina.,The nun kisses the boxer.,1,A,C,,0,
102,4,1,0.7836111111,3.443611111,chase,PC,1,The monk is chased by the policeman.,The robber is chased by the pirate.,0,P,C,,0,
103,4,1,0.6836111111,2.865555556,slap,AC,0,The cowboy slaps the ballerina.,The policeman slaps the boxer.,1,A,C,,0,
104,4,1,0.8213888889,16.9925,shoot,PI,1,The ballerina is shooted by the artist.,The swimmer is shot by the chef.,0,P,I,,0,
105,4,1,0.6388888889,3.132222222,punch,AC,0,The cowboy punches the nun.,The artist punches the monk.,1,A,C,,0,
106,4,1,0.5036111111,3.036944444,punch,PC,1,The ballerina is punched by the artist.,The doctor is punched by the cowboy.,0,P,C,,0,
107,4,1,0.7044444444,4.747777778,kick,AI,1,The policeman kick the boxer.,The clown is kicked by the waitress.,0,A,I,,0,
108,4,1,0.5591666667,3.683611111,scold,PC,0,The monk is scolded by the swimmer.,The professor scolds the soldier.,1,P,C,,0,
109,5,1,0.7972222222,2.033055556,punch,AC,1,The cowboy punches the swimmer.,The artist punches the clown.,1,A,C,,0,
110,5,1,1.682222222,2.785,pull,PI,0,The waitress is pullen by the pirate.,The boxer pulls the clown with rope.,1,P,I,,0,
111,5,1,1.036944444,3.582777778,kiss,AC,1,The artist kisses the ballerina.,The woman kisses the boxer.,1,A,C,,0,
112,5,0,1.023055556,2.760277778,touch,PI,1,The doctor is touchen by the waitress.,The sailor touches the clown.,1,P,I,,0,
113,5,1,2.379722222,2.544166667,kiss,AC,0,The pirate kisses the clown.,The artist kisses the soldier.,1,A,C,,0,
114,5,1,0.8202777778,2.58,chase,PC,1,The monk is chased by the policeman.,The pirate chases the robber.,1,P,C,,0,
115,5,1,0.7477777778,2.0975,punch,AC,0,The cowboy punches the nun.,The artist punches the monk.,1,A,C,,0,
116,5,1,0.8975,2.858888889,follow,PC,0,The ballerina is followed by the pirate.,The woman follows the boxer.,1,P,C,,0,
117,5,1,0.4725,1.8375,slap,AC,0,The cowboy slaps the ballerina.,The policeman slaps the boxer.,1,A,C,,0,
118,5,1,0.9638888889,2.463888889,kick,PI,0,The clown is kicken by the nun.,The waitress kicks the robber.,1,P,I,,0,
119,5,1,1.626111111,1.864444444,kick,AI,1,The policeman kick the boxer.,The waitress kicks the clown.,1,A,I,,0,
120,5,0,1.2575,2.612222222,shoot,PI,1,The ballerina is shooted by the artist.,The chef shoots the swimmer.,1,P,I,,0,
121,5,0,1.369722222,1.79,shoot,AI,0,The actress shoot the robber.,The chef shoots the boxer.,1,A,I,,0,
122,5,1,1.684444444,1.714722222,scold,PC,1,The doctor is scolded by the professor.,The policeman scolds the boxer.,1,P,C,,0,
123,5,1,0.4233333333,2.844722222,scold,AC,0,The waitress scolds the boxer.,The policeman scolds the dancer.,1,A,C,,0,
124,5,1,1.101388889,2.235,kiss,PC,1,The boxer is kissed by the artist.,The nun kisses the dancer.,1,P,C,,0,
125,5,1,1.591388889,2.489444444,push,AI,1,The chef push the clown.,The cowboy pushes the swimmer.,1,A,I,,0,
126,5,1,1.293611111,2.59,chase,PC,0,The swimmer is chased by the nun.,The waitress chases the doctor.,1,P,C,,0,
127,5,1,1.516666667,1.930277778,tickle,AI,0,The soldier tickle the boxer.,The waitress tickles the doctor.,1,A,I,,0,
128,5,1,0.7194444444,3.630555556,scold,PC,0,The monk is scolded by the swimmer.,The soldier is scolded by the professor.,0,P,C,,0,
129,5,1,1.550833333,2.723888889,slap,AC,1,The cowboy slaps the professor.,The policeman slaps the swimmer.,1,A,C,,0,
130,5,1,1.168611111,3.091111111,follow,PC,1,The ballerina is followed by the pirate.,The soldier is followed by the nun.,0,P,C,,0,
131,5,1,0.6627777778,2.661111111,follow,AC,0,The nun follows the cowboy.,The pirate follows the doctor.,1,A,C,,0,
132,5,1,1.355,2.681666667,punch,PC,1,The ballerina is punched by the artist.,The cowboy punches the doctor.,1,P,C,,0,
133,5,1,2.620277778,2.035833333,chase,AC,0,The policeman chases the robber.,The policeman chases the swimmer.,1,A,C,,0,
134,5,1,1.230555556,2.565555556,slap,PC,1,The clown is slapped by the policeman.,The cowboy slaps the sailor.,1,P,C,,0,
135,5,1,1.343611111,2.585,scold,AC,1,The policeman scolds the doctor.,The professor scolds the sailor.,1,A,C,,0,
136,5,1,2.752777778,2.614444444,punch,PC,0,The policeman is punched by the artist.,The cowboy punches the dancer.,1,P,C,,0,
137,5,1,0.7525,1.970833333,pull,AI,1,The boxer pull the soldier.,The pirate pulls the dancer.,1,A,I,,0,
138,5,0,1.392777778,2.9675,tickle,PI,1,The robber is ticklen by the soldier.,The monk is trickled by the waitress.,0,P,I,,0,
139,5,1,0.5447222222,1.675833333,touch,AI,0,The waitress touch the professor.,The sailor touches the swimmer.,1,A,I,,0,
140,5,1,0.9708333333,2.081944444,slap,PC,0,The nurse is slapped by  the policeman.,The cowboy slaps the dancer.,1,P,C,,0,
141,5,1,0.7502777778,2.163888889,chase,AC,1,The nun chases the sailor.,The policeman chases the burglar.,1,A,C,,0,
142,5,1,0.8355555556,2.223611111,push,PI,0,The monk is pushen by the policeman.,The cowboy pushes the dancer.,1,P,I,,0,
143,5,1,0.8580555556,1.729166667,follow,AC,1,The nun follows the doctor.,The pirate follows the sailor.,1,A,C,,0,
144,5,1,0.7552777778,2.114722222,kiss,PC,0,The monk is kissed by the swimmer.,The artist kisses the clown.,1,P,C,,0,
145,6,1,1.288055556,3.476111111,follow,AC,0,The nun follows the cowboy.,The pirate follows the doctor,1,A,C,,0,
146,6,1,1.237222222,3.321388889,kick,PI,0,The clown is kicken by the nun.,The waitress kicks the burglar,1,P,I,,0,
147,6,1,2.276944444,3.769166667,tickle,AI,0,The soldier tickle the boxer.,The waitress tickles the doctor,1,A,I,,0,
148,6,1,1.869166667,3.125,shoot,PI,1,The ballerina is shooted by the artist.,The chef shoots the swimmer,1,P,I,,0,
149,6,1,1.427777778,4.256111111,chase,AC,0,The policeman chases the robber.,The policeman chases the swimmer,1,A,C,,0,
150,6,1,1.022777778,3.2575,slap,PC,1,The clown is slapped by the policeman.,The cowboy slaps the sailor,1,P,C,,0,
151,6,1,0.8633333333,3.5075,push,AI,1,The chef push the clown.,The cowboy pushes the swimmer,1,A,I,,0,
152,6,1,1.456111111,4.966388889,tickle,PI,1,The robber is ticklen by the soldier.,The waitress tickles the priest,1,P,I,,0,
153,6,1,0.6375,2.888888889,punch,AC,1,The cowboy punches the swimmer.,The artist punches the clown,1,A,C,,0,
154,6,1,0.4622222222,2.976944444,chase,PC,0,The swimmer is chased by the nun.,The waitress chases the doctor,1,P,C,,0,
155,6,1,0.6661111111,2.84,slap,AC,1,The cowboy slaps the professor.,The policeman slaps the swimmer,1,A,C,,0,
156,6,1,1.680555556,3.7975,chase,PC,1,The monk is chased by the policeman.,The robber is chased by the pirate,0,P,C,,0,
157,6,1,0.4186111111,4.3,scold,AC,0,The waitress scolds the boxer.,The policeman scolds the ballerina,1,A,C,,0,
158,6,1,0.4697222222,3.205833333,follow,PC,1,The ballerina is followed by the pirate.,The nun follows the soldier,1,P,C,,0,
159,6,1,0.3825,2.932777778,follow,AC,1,The nun follows the doctor.,The pirate follows the sailor,1,A,C,,0,
160,6,1,0.5452777778,3.077222222,scold,PC,0,The monk is scolded by the swimmer.,The professor scolds the soldier,1,P,C,,0,
161,6,1,0.6294444444,2.607222222,kiss,AC,1,The artist kisses the ballerina.,The nun kisses the boxer,1,A,C,,0,
162,6,1,1.196666667,4.040277778,touch,PI,1,The doctor is touchen by the waitress.,The sailor touches the clown,1,P,I,,0,
163,6,1,0.7191666667,2.340555556,scold,AC,1,The policeman scolds the doctor.,The professor scolds the sailor,1,A,C,,0,
164,6,1,0.6047222222,3.511388889,push,PI,0,The monk is pushen by the policeman.,The cowboy pushes the ballerina,1,P,I,,0,
165,6,1,0.3802777778,3.27,punch,AC,0,The cowboy punches the nun.,The artist punches the monk,1,A,C,,0,
166,6,1,0.5088888889,2.156111111,kiss,PC,1,The boxer is kissed by the artist.,The nun kisses the ballerina,1,P,C,,0,
167,6,1,1.822222222,2.481111111,chase,AC,1,The nun chases the sailor.,The policeman chases the robber,1,A,C,,0,
168,6,1,0.6913888889,3.810555556,punch,PC,0,The policeman is punched by the artist.,The cowboy punches the ballerina,1,P,C,,0,
169,6,1,1.155555556,2.316388889,touch,AI,0,The waitress touch the professor.,The sailor touches the swimmer,1,A,I,,0,
170,6,1,0.8705555556,2.501666667,slap,PC,0,The nurse is slapped by  the policeman.,The cowboy slaps the ballerina,1,P,C,,0,
171,6,1,0.3352777778,2.898055556,kiss,AC,0,The pirate kisses the clown.,The artist kisses the soldier,1,A,C,,0,
172,6,1,0.4925,2.803055556,kiss,PC,0,The monk is kissed by the swimmer.,The artist kisses the clown,1,P,C,,0,
173,6,1,0.9044444444,2.992222222,pull,AI,1,The boxer pull the soldier.,The pirate pulls the ballerina,1,A,I,,0,
174,6,1,0.5388888889,3.331111111,follow,PC,0,The ballerina is followed by the pirate.,The nun follows the boxer,1,P,C,,0,
175,6,1,0.4980555556,2.676111111,kick,AI,1,The policeman kick the boxer.,The waitress kicks the clown,1,A,I,,0,
176,6,1,0.7983333333,2.290277778,scold,PC,1,The doctor is scolded by the professor.,The policeman scolds the boxer,1,P,C,,0,
177,6,1,0.6263888889,2.662222222,shoot,AI,0,The actress shoot the robber.,The chef shoots the boxer,1,A,I,,0,
178,6,1,1.7475,1.970833333,pull,PI,0,The waitress is pullen by the pirate.,The boxer pulls the clown,1,P,I,,0,
179,6,1,0.4280555556,2.7275,slap,AC,0,The cowboy slaps the ballerina.,The policeman slaps the boxer,1,A,C,,0,
180,6,1,0.4825,2.675,punch,PC,1,The ballerina is punched by the artist.,The cowboy punches the doctor,1,P,C,,0,
181,7,1,4.368333333,4.937777778,shoot,AI,0,The actress shoot the robber.,the chef shoots the boxer,1,A,I,,0,
182,7,0,2.296666667,6.788055556,slap,PC,0,The nurse is slapped by  the policeman.,The dancer is slapped by the cowboy,0,P,C,,0,
183,7,1,1.077222222,4.136944444,push,AI,1,The chef push the clown.,the cowboy pushes the swimmer,1,A,I,,0,
184,7,1,0.8525,3.376111111,pull,PI,0,The waitress is pullen by the pirate.,the boxer pulls the clown,1,P,I,,0,
185,7,1,0.8225,2.902777778,chase,AC,1,The nun chases the sailor.,the cop chases the robber,1,A,C,,0,
186,7,1,0.9733333333,3.728055556,push,PI,0,The monk is pushen by the policeman.,the cowboy pushes the dancer,1,P,I,,0,
187,7,1,0.8241666667,3.671666667,tickle,AI,0,The soldier tickle the boxer.,the waitress tickles the Doctor,1,A,I,,0,
188,7,1,2.975833333,4.160277778,chase,PC,0,The swimmer is chased by the nun.,the waitress chases the doctor,1,P,C,,0,
189,7,0,3.279166667,3.018055556,follow,AC,0,The nun follows the cowboy.,the pirate follows the doctor,1,A,C,,0,
190,7,0,0.84,3.619444444,touch,PI,1,The doctor is touchen by the waitress.,the clown is touched by the sailor,0,P,I,,0,
191,7,1,1.319444444,6.526388889,scold,AC,1,The policeman scolds the doctor.,the professor scolds the sailor,1,A,C,,0,
192,7,1,0.7647222222,3.646111111,chase,PC,1,The monk is chased by the policeman.,the pirate chases the robber,1,P,C,,0,
193,7,1,0.9377777778,4.855833333,slap,AC,0,The cowboy slaps the ballerina.,the cop slaps the boxer,1,A,C,,0,
194,7,1,0.9722222222,4.300555556,kiss,PC,1,The boxer is kissed by the artist.,the dancer is kissed by the nun,0,P,C,,0,
195,7,0,4.260833333,3.6175,kick,AI,1,The policeman kick the boxer.,the waitress kicks the clown,1,A,I,,0,
196,7,1,0.9488888889,3.790833333,slap,PC,1,The clown is slapped by the policeman.,the sailor is slapped by the cowboy,0,P,C,,0,
197,7,1,1.001111111,2.381388889,scold,AC,0,The waitress scolds the boxer.,the cop scolds the dancer,1,A,C,,0,
198,7,1,0.9313888889,3.846388889,kick,PI,0,The clown is kicken by the nun.,the robber is kicked by the waitress,0,P,I,,0,
199,7,1,1.295833333,3.368333333,kiss,AC,1,The artist kisses the ballerina.,the boxer is kissed by the nun,0,A,C,,0,
200,7,1,0.8547222222,2.777777778,follow,PC,1,The ballerina is followed by the pirate.,the nun follows the soldier,1,P,C,,0,
201,7,1,0.7533333333,3.213611111,kiss,AC,0,The pirate kisses the clown.,the artist kisses the soldier,1,A,C,,0,
202,7,0,0.6436111111,2.780277778,shoot,PI,1,The ballerina is shooted by the artist.,the chef shoots the swimmer,1,P,I,,0,
203,7,1,1.062222222,2.605833333,slap,AC,1,The cowboy slaps the professor.,the cop slaps the dancer,1,A,C,,0,
204,7,1,2.174444444,2.968611111,kiss,PC,0,The monk is kissed by the swimmer.,the artist kisses the clown,1,P,C,,0,
205,7,1,1.500277778,2.769444444,punch,AC,1,The cowboy punches the swimmer.,the artist punches the clown,1,A,C,,0,
206,7,1,1.549444444,4.5825,punch,PC,1,The ballerina is punched by the artist.,the doctor is punched by the cowboy,0,P,C,,0,
207,7,1,1.028888889,3.55,touch,AI,0,The waitress touch the professor.,the sailor touched the swimmer,1,A,I,,0,
208,7,0,4.221388889,2.849722222,tickle,PI,1,The robber is ticklen by the soldier.,the waitress tickles the monk,1,P,I,,0,
209,7,1,1.844444444,4.003611111,punch,AC,0,The cowboy punches the nun.,the artist punches the monk,1,A,C,,0,
210,7,1,0.7136111111,2.796388889,follow,PC,0,The ballerina is followed by the pirate.,the nun follows the boxer,1,P,C,,0,
211,7,1,0.7505555556,2.536944444,follow,AC,1,The nun follows the doctor.,the pirate follows the sailor,1,A,C,,0,
212,7,1,0.7805555556,3.282222222,punch,PC,0,The policeman is punched by the artist.,the cowboy punches the dancer,1,P,C,,0,
213,7,1,0.8272222222,3.122222222,chase,AC,0,The policeman chases the robber.,the cop chases the swimmer,1,A,C,,0,
214,7,1,1.029444444,2.466944444,scold,PC,1,The doctor is scolded by the professor.,the cop scolds the boxer,1,P,C,,0,
215,7,1,0.7277777778,2.637222222,pull,AI,1,The boxer pull the soldier.,the pirate pulls the dancer,1,A,I,,0,
216,7,1,0.7658333333,3.221111111,scold,PC,0,The monk is scolded by the swimmer.,the professor scolds the soldier,1,P,C,,0,
217,8,1,5.386111111,19.64638889,shoot,AI,0,The actress shoot the robber.,A man shoot the robber.,1,A,I,,1,
218,8,0,8.656111111,28.94444444,touch,PI,1,The doctor is touchen by the waitress.,A policeman touch the innocent man.,1,P,I,,1,
219,8,1,7.274444444,20.70444444,punch,AC,1,The cowboy punches the swimmer.,The rude man punches the innocent guy.,1,A,C,,0,
220,8,0,3.706388889,21.44638889,punch,PC,1,The ballerina is punched by the artist.,A doctor is punched by the cowboy.,0,P,C,,0,
221,8,1,10.85972222,14.45138889,touch,AI,0,The waitress touch the professor.,Swimming man touched by the security.,0,A,I,,1,
222,8,1,6.358055556,20.44444444,punch,PC,0,The policeman is punched by the artist.,A Woman is punched by the cowboy.,0,P,C,,0,
223,8,0,9.486388889,18.19361111,kiss,AC,0,The pirate kisses the clown.,The woman kisses the hunter man.,1,A,C,,0,
