,subjID,surveyID,resp_iscorrect,verif_rt,descr_rt,T_verb,P_type,syn_voice,syn_corr,verif_ans,P_sentence,clear_responses,isactive.raw,isactive.checked,error_type
36,1,054o3ell20190406,1,1.479166667,7.664166667,push,PI,P,I,0,The monk is pushen by the policeman.,The cowboy pushes the ballerina.,1,1,0
37,2,0cyzp7v220190413,1,2.590833333,14.765,pull,AI,A,I,1,The boxer pull the soldier.,Thief pull the girl.,1,1,1
38,2,0cyzp7v220190413,0,7.843333333,18.87583333,push,PI,P,I,0,The monk is pushen by the policeman.,The girl is pushen by the cowboy.,0,0,1
39,2,0cyzp7v220190413,0,4.1525,12.85666667,scold,AC,A,C,0,The waitress scolds the boxer.,The soldier scolds the woman.,1,1,0
40,2,0cyzp7v220190413,1,7.295833333,34.99083333,follow,PC,P,C,1,The ballerina is followed by the pirate. ,A solider is followed by the monk.,0,0,0
41,2,0cyzp7v220190413,0,6.210833333,11.075,punch,AC,A,C,0,The cowboy punches the nun.,A painter punch the monk.,1,1,1
42,2,0cyzp7v220190413,0,5.510833333,14.93583333,punch,PC,P,C,0,The policeman is punched by the artist.,A cowboy punch the woman.,1,1,1
43,2,0cyzp7v220190413,0,4.948333333,9.198333333,shoot,AI,A,I,0,The actress shoot the robber. ,The chef shoot the boxer.,1,1,1
44,2,0cyzp7v220190413,1,3.965,9.700833333,follow,PC,P,C,0,The ballerina is followed by the pirate.,A boxer is followed by the monk.,0,0,0
45,2,0cyzp7v220190413,1,4.9175,26.18416667,chase,AC,A,C,0,The policeman chases the robber.,The swimmer is chased by the policeman.,0,0,0
46,2,0cyzp7v220190413,1,5.205833333,14.6625,slap,PC,P,C,1,The clown is slapped by the policeman.,The sailor is slapped by the cowboy.,0,0,0
47,2,0cyzp7v220190413,1,3.8575,12.97,punch,AC,A,C,1,The cowboy punches the swimmer.,The painter punches the joker.,1,1,0
48,2,0cyzp7v220190413,0,4.953333333,20.11833333,scold,PC,P,C,0,The monk is scolded by the swimmer. ,The professor scolds the security guy.,1,1,0
49,2,0cyzp7v220190413,0,2.394166667,8.608333333,tickle,AI,A,I,0,The soldier tickle the boxer.,The waitress tickles the doctor.,1,1,0
50,2,0cyzp7v220190413,0,2.784166667,14.09,pull,PI,P,I,0,The waitress is pullen by the pirate. ,The joker is pullen by the boxer.,0,0,1
51,2,0cyzp7v220190413,1,4.908333333,10.0375,slap,AC,A,C,1,The cowboy slaps the professor.,The policeman slaps the swimmer.,1,1,0
52,2,0cyzp7v220190413,1,2.905,32.59083333,touch,PI,P,I,1,The doctor is touchen by the waitress.,The clown is touchen by the sailor.,1,1,1
53,2,0cyzp7v220190413,1,2.580833333,14.1775,touch,AI,A,I,0,The waitress touch the professor.,The sailor touch the swimmer.,1,1,1
54,2,0cyzp7v220190413,1,4.089166667,11.84083333,shot,PI,P,I,1,The ballerina is shooted by the artist. ,The swimmer is shooted by the chef.,0,0,1
55,2,0cyzp7v220190413,1,1.72,9.6225,kick,AI,A,I,1,The policeman kick the boxer.,The waitress kick the clown.,1,1,1
56,2,0cyzp7v220190413,1,2.935,10.50916667,kiss,PC,P,C,1,The boxer is kissed by the artist.,The ballerina is kissed by the nun.,0,0,0
57,2,0cyzp7v220190413,1,2.031666667,8.8725,scold,AC,A,C,1,The policeman scolds the doctor.,The professor scolds the sailor.,1,1,0
58,2,0cyzp7v220190413,0,4.1875,19.03583333,kick,PI,P,I,0,The clown is kicken by the nun. ,The waitress kicks the thief.,1,1,0
59,2,0cyzp7v220190413,1,3.500833333,14.13583333,kiss,AC,A,C,0,The pirate kisses the clown.,The police is kissed by the artist.,0,0,0
60,2,0cyzp7v220190413,1,5.6375,11.96416667,scold,PC,P,C,1,The doctor is scolded by the professor. ,The boxer is scolded by the policeman.,0,0,0
61,2,0cyzp7v220190413,1,3.001666667,12.04333333,push,AI,A,I,1,The chef push the clown.,A cowboy push the swimmer.,1,1,1
62,2,0cyzp7v220190413,1,2.335,8.99,chase,PC,P,C,0,The swimmer is chased by the nun.,The doctor is chased by the waitress.,0,0,0
63,2,0cyzp7v220190413,1,1.933333333,12.6425,chase,AC,A,C,1,The nun chases the sailor.,The policeman chases the thief.,1,1,0
64,2,0cyzp7v220190413,1,5.359166667,18.9375,slap,PC,P,C,0,The nurse is slapped by  the policeman.,The cowboy slapped the ballerina.,1,1,0
65,2,0cyzp7v220190413,1,2.558333333,16.95083333,follow,AC,A,C,0,The nun follows the cowboy.,The pirate follows the doctor.,1,1,0
66,2,0cyzp7v220190413,1,2.98,14.21666667,chase,PC,P,C,1,The monk is chased by the policeman.,The thief is chased by the pirate.,0,0,0
67,2,0cyzp7v220190413,1,2.163333333,8.631666667,follow,AC,A,C,1,The nun follows the doctor.,The pirate follows the sailor.,1,1,0
68,2,0cyzp7v220190413,1,3.0325,11.91416667,tickle,PI,P,I,1,The robber is ticklen by the soldier. ,The waitress tickles the monk.,1,1,0
69,2,0cyzp7v220190413,1,2.4825,7.831666667,slap,AC,A,C,0,The cowboy slaps the ballerina.,The policeman slaps the boxer.,1,1,0
70,2,0cyzp7v220190413,1,2.545,11.1725,kiss,PC,P,C,0,The monk is kissed by the swimmer.,The artist kisses the clown.,1,1,0
71,2,0cyzp7v220190413,1,4.854166667,7.755,kiss,AC,A,C,1,The artist kisses the ballerina.,The nun kisses the boxer.,1,1,0
72,2,0cyzp7v220190413,1,5.315,10.81,punch,PC,P,C,1,The ballerina is punched by the artist.,The cowboy punches the doctor.,1,1,0
73,3,0g5fxm3n20190413,0,3.785,15.52833333,tickle,AI,A,I,0,The soldier tickle the boxer.,The waitress tickles the doctor.,1,1,0
74,3,0g5fxm3n20190413,1,7.278333333,30.42416667,slap,PC,P,C,0,The nurse is slapped by  the policeman.,The ballerina is slapped by the cowboy.,0,0,0
75,3,0g5fxm3n20190413,1,5.1975,37.35083333,chase,AC,A,C,1,The nun chases the sailor.,The policeman chases the prisoner.,1,1,0
76,3,0g5fxm3n20190413,1,3.579166667,14.78416667,slap,PC,P,C,1,The clown is slapped by the policeman.,The sailor is slapped by the cowboy.,0,0,0
77,3,0g5fxm3n20190413,1,4.250833333,18.72333333,push,AI,A,I,1,The chef push the clown.,The cowboy pushes the swimmer.,1,1,0
78,3,0g5fxm3n20190413,1,5.118333333,16.99583333,follow,PC,P,C,0,The ballerina is followed by the pirate.,The nun is following the boxer.,1,1,0
79,3,0g5fxm3n20190413,1,4.133333333,18.2025,slap,AC,A,C,1,The cowboy slaps the professor.,The policeman slaps the swimmer.,1,1,0
80,3,0g5fxm3n20190413,1,4.166666667,24.18916667,punch,PC,P,C,0,The policeman is punched by the artist.,The cowboy punches the ballerina.,1,1,0
81,3,0g5fxm3n20190413,1,3.1425,11.73666667,punch,AC,A,C,1,The cowboy punches the swimmer.,The artist punches the clown.,1,1,0
82,3,0g5fxm3n20190413,1,4.043333333,10.12083333,kiss,PC,P,C,0,The monk is kissed by the swimmer.,The clown is kissed by the artist.,0,0,0
83,3,0g5fxm3n20190413,1,3.160833333,9.863333333,follow,AC,A,C,0,The nun follows the cowboy.,The pirate follows the doctor.,1,1,0
84,3,0g5fxm3n20190413,1,2.574166667,15.98916667,kiss,PC,P,C,1,The boxer is kissed by the artist.,The ballerina is kissed by the nun.,0,0,0
85,3,0g5fxm3n20190413,1,5.878333333,12.3625,pull,AI,A,I,1,The boxer pull the soldier.,The ballerina is pulled by the pirate.,0,0,0
86,3,0g5fxm3n20190413,1,3.4875,12.06416667,scold,PC,P,C,1,The doctor is scolded by the professor. ,The boxer is scolded by the policeman.,0,0,0
87,3,0g5fxm3n20190413,1,2.646666667,9.995833333,touch,AI,A,I,0,The waitress touch the professor.,The swimmer is touched by the sailor.,0,0,0
88,3,0g5fxm3n20190413,1,4.205833333,10.0425,touch,PI,P,I,1,The doctor is touchen by the waitress.,The clown is touched by the sailor.,0,0,0
89,3,0g5fxm3n20190413,1,3.343333333,11.0025,scold,AC,A,C,0,The waitress scolds the boxer.,The policeman scolds the ballerina.,1,1,0
90,3,0g5fxm3n20190413,1,3.023333333,11.11666667,pull,PI,P,I,0,The waitress is pullen by the pirate. ,The clown is pulled by the boxer.,0,0,0
91,3,0g5fxm3n20190413,1,7.153333333,10.53,chase,AC,A,C,0,The policeman chases the robber.,The policeman chases the swimmer.,1,1,0
92,3,0g5fxm3n20190413,1,2.3225,8.923333333,kick,PI,P,I,0,The clown is kicken by the nun. ,The waitress kicks the robber.,1,1,0
93,3,0g5fxm3n20190413,1,1.414166667,13.655,kiss,AC,A,C,0,The pirate kisses the clown.,The artist kisses the soldier.,1,1,0
94,3,0g5fxm3n20190413,1,1.980833333,16.13666667,push,PI,P,I,0,The monk is pushen by the policeman.,The cowboy pushes the ballerina.,1,1,0
95,3,0g5fxm3n20190413,1,7.6125,31.86416667,shoot,AI,A,I,0,The actress shoot the robber. ,The chef shoots the boxer.,1,1,0
96,3,0g5fxm3n20190413,1,8.555,9.87,follow,PC,P,C,1,The ballerina is followed by the pirate. ,The soldier is followed by the nun.,0,0,0
97,3,0g5fxm3n20190413,1,3.4,9.945,follow,AC,A,C,1,The nun follows the doctor.,The sailor is followed by the pirate.,0,0,0
98,3,0g5fxm3n20190413,1,2.368333333,12.87083333,chase,PC,P,C,0,The swimmer is chased by the nun.,The waitress chases the doctor.,1,1,0
99,3,0g5fxm3n20190413,1,2.255,18.30083333,scold,AC,A,C,1,The policeman scolds the doctor.,The professor scolds the sailor.,1,1,0
100,3,0g5fxm3n20190413,1,6.693333333,15.43083333,tickle,PI,P,I,1,The robber is ticklen by the soldier. ,The monk is tickled by the waitress.,0,0,0
101,3,0g5fxm3n20190413,1,1.85,7.61,kiss,AC,A,C,1,The artist kisses the ballerina.,The nun kisses the boxer.,1,1,0
102,3,0g5fxm3n20190413,1,2.350833333,10.33083333,chase,PC,P,C,1,The monk is chased by the policeman.,The robber is chased by the pirate.,0,0,0
103,3,0g5fxm3n20190413,1,2.050833333,8.596666667,slap,AC,A,C,0,The cowboy slaps the ballerina.,The policeman slaps the boxer.,1,1,0
104,3,0g5fxm3n20190413,1,2.464166667,50.9775,shot,PI,P,I,1,The ballerina is shooted by the artist. ,The swimmer is shot by the chef.,0,0,0
105,3,0g5fxm3n20190413,1,1.916666667,9.396666667,punch,AC,A,C,0,The cowboy punches the nun.,The artist punches the monk.,1,1,0
106,3,0g5fxm3n20190413,1,1.510833333,9.110833333,punch,PC,P,C,1,The ballerina is punched by the artist.,The doctor is punched by the cowboy.,0,0,0
107,3,0g5fxm3n20190413,1,2.113333333,14.24333333,kick,AI,A,I,1,The policeman kick the boxer.,The clown is kicked by the waitress.,0,0,0
108,3,0g5fxm3n20190413,1,1.6775,11.05083333,scold,PC,P,C,0,The monk is scolded by the swimmer. ,The professor scolds the soldier.,1,1,0
109,4,0mca82ad20190405,1,2.391666667,6.099166667,punch,AC,A,C,1,The cowboy punches the swimmer.,The artist punches the clown.,1,1,0
110,4,0mca82ad20190405,1,5.046666667,8.355,pull,PI,P,I,0,The waitress is pullen by the pirate.,The boxer pulls the clown with rope.,1,1,0
111,4,0mca82ad20190405,1,3.110833333,10.74833333,kiss,AC,A,C,1,The artist kisses the ballerina.,The woman kisses the boxer.,1,1,0
112,4,0mca82ad20190405,0,3.069166667,8.280833333,touch,PI,P,I,1,The doctor is touchen by the waitress.,The sailor touches the clown.,1,1,0
113,4,0mca82ad20190405,1,7.139166667,7.6325,kiss,AC,A,C,0,The pirate kisses the clown.,The artist kisses the soldier.,1,1,0
114,4,0mca82ad20190405,1,2.460833333,7.74,chase,PC,P,C,1,The monk is chased by the policeman.,The pirate chases the robber.,1,1,0
115,4,0mca82ad20190405,1,2.243333333,6.2925,punch,AC,A,C,0,The cowboy punches the nun.,The artist punches the monk.,1,1,0
116,4,0mca82ad20190405,1,2.6925,8.576666667,follow,PC,P,C,0,The ballerina is followed by the pirate.,The woman follows the boxer.,1,1,0
117,4,0mca82ad20190405,1,1.4175,5.5125,slap,AC,A,C,0,The cowboy slaps the ballerina.,The policeman slaps the boxer.,1,1,0
118,4,0mca82ad20190405,1,2.891666667,7.391666667,kick,PI,P,I,0,The clown is kicken by the nun.,The waitress kicks the robber.,1,1,0
119,4,0mca82ad20190405,1,4.878333333,5.593333333,kick,AI,A,I,1,The policeman kick the boxer.,The waitress kicks the clown.,1,1,0
120,4,0mca82ad20190405,0,3.7725,7.836666667,shot,PI,P,I,1,The ballerina is shooted by the artist.,The chef shoots the swimmer.,1,1,0
121,4,0mca82ad20190405,0,4.109166667,5.37,shoot,AI,A,I,0,The actress shoot the robber.,The chef shoots the boxer.,1,1,0
122,4,0mca82ad20190405,1,5.053333333,5.144166667,scold,PC,P,C,1,The doctor is scolded by the professor.,The policeman scolds the boxer.,1,1,0
123,4,0mca82ad20190405,1,1.27,8.534166667,scold,AC,A,C,0,The waitress scolds the boxer.,The policeman scolds the dancer.,1,1,0
124,4,0mca82ad20190405,1,3.304166667,6.705,kiss,PC,P,C,1,The boxer is kissed by the artist.,The nun kisses the dancer.,1,1,0
125,4,0mca82ad20190405,1,4.774166667,7.468333333,push,AI,A,I,1,The chef push the clown.,The cowboy pushes the swimmer.,1,1,0
126,4,0mca82ad20190405,1,3.880833333,7.77,chase,PC,P,C,0,The swimmer is chased by the nun.,The waitress chases the doctor.,1,1,0
127,4,0mca82ad20190405,1,4.55,5.790833333,tickle,AI,A,I,0,The soldier tickle the boxer.,The waitress tickles the doctor.,1,1,0
128,4,0mca82ad20190405,1,2.158333333,10.89166667,scold,PC,P,C,0,The monk is scolded by the swimmer.,The soldier is scolded by the professor.,0,0,0
129,4,0mca82ad20190405,1,4.6525,8.171666667,slap,AC,A,C,1,The cowboy slaps the professor.,The policeman slaps the swimmer.,1,1,0
130,4,0mca82ad20190405,1,3.505833333,9.273333333,follow,PC,P,C,1,The ballerina is followed by the pirate.,The soldier is followed by the nun.,0,0,0
131,4,0mca82ad20190405,1,1.988333333,7.983333333,follow,AC,A,C,0,The nun follows the cowboy.,The pirate follows the doctor.,1,1,0
132,4,0mca82ad20190405,1,4.065,8.045,punch,PC,P,C,1,The ballerina is punched by the artist.,The cowboy punches the doctor.,1,1,0
133,4,0mca82ad20190405,1,7.860833333,6.1075,chase,AC,A,C,0,The policeman chases the robber.,The policeman chases the swimmer.,1,1,0
134,4,0mca82ad20190405,1,3.691666667,7.696666667,slap,PC,P,C,1,The clown is slapped by the policeman.,The cowboy slaps the sailor.,1,1,0
135,4,0mca82ad20190405,1,4.030833333,7.755,scold,AC,A,C,1,The policeman scolds the doctor.,The professor scolds the sailor.,1,1,0
136,4,0mca82ad20190405,1,8.258333333,7.843333333,punch,PC,P,C,0,The policeman is punched by the artist.,The cowboy punches the dancer.,1,1,0
137,4,0mca82ad20190405,1,2.2575,5.9125,pull,AI,A,I,1,The boxer pull the soldier.,The pirate pulls the dancer.,1,1,0
138,4,0mca82ad20190405,0,4.178333333,8.9025,tickle,PI,P,I,1,The robber is ticklen by the soldier.,The monk is trickled by the waitress.,0,0,0
139,4,0mca82ad20190405,1,1.634166667,5.0275,touch,AI,A,I,0,The waitress touch the professor.,The sailor touches the swimmer.,1,1,0
140,4,0mca82ad20190405,1,2.9125,6.245833333,slap,PC,P,C,0,The nurse is slapped by  the policeman.,The cowboy slaps the dancer.,1,1,0
141,4,0mca82ad20190405,1,2.250833333,6.491666667,chase,AC,A,C,1,The nun chases the sailor.,The policeman chases the burglar.,1,1,0
142,4,0mca82ad20190405,1,2.506666667,6.670833333,push,PI,P,I,0,The monk is pushen by the policeman.,The cowboy pushes the dancer.,1,1,0
143,4,0mca82ad20190405,1,2.574166667,5.1875,follow,AC,A,C,1,The nun follows the doctor.,The pirate follows the sailor.,1,1,0
144,4,0mca82ad20190405,1,2.265833333,6.344166667,kiss,PC,P,C,0,The monk is kissed by the swimmer.,The artist kisses the clown.,1,1,0
145,5,0my0w2ch20190406,1,3.864166667,10.42833333,follow,AC,A,C,0,The nun follows the cowboy.,The pirate follows the doctor,1,1,0
146,5,0my0w2ch20190406,1,3.711666667,9.964166667,kick,PI,P,I,0,The clown is kicken by the nun.,The waitress kicks the burglar,1,1,0
147,5,0my0w2ch20190406,1,6.830833333,11.3075,tickle,AI,A,I,0,The soldier tickle the boxer.,The waitress tickles the doctor,1,1,0
148,5,0my0w2ch20190406,1,5.6075,9.375,shot,PI,P,I,1,The ballerina is shooted by the artist.,The chef shoots the swimmer,1,1,0
149,5,0my0w2ch20190406,1,4.283333333,12.76833333,chase,AC,A,C,0,The policeman chases the robber.,The policeman chases the swimmer,1,1,0
150,5,0my0w2ch20190406,1,3.068333333,9.7725,slap,PC,P,C,1,The clown is slapped by the policeman.,The cowboy slaps the sailor,1,1,0
151,5,0my0w2ch20190406,1,2.59,10.5225,push,AI,A,I,1,The chef push the clown.,The cowboy pushes the swimmer,1,1,0
152,5,0my0w2ch20190406,1,4.368333333,14.89916667,tickle,PI,P,I,1,The robber is ticklen by the soldier.,The waitress tickles the priest,1,1,0
153,5,0my0w2ch20190406,1,1.9125,8.666666667,punch,AC,A,C,1,The cowboy punches the swimmer.,The artist punches the clown,1,1,0
154,5,0my0w2ch20190406,1,1.386666667,8.930833333,chase,PC,P,C,0,The swimmer is chased by the nun.,The waitress chases the doctor,1,1,0
155,5,0my0w2ch20190406,1,1.998333333,8.52,slap,AC,A,C,1,The cowboy slaps the professor.,The policeman slaps the swimmer,1,1,0
156,5,0my0w2ch20190406,1,5.041666667,11.3925,chase,PC,P,C,1,The monk is chased by the policeman.,The robber is chased by the pirate,0,0,0
157,5,0my0w2ch20190406,1,1.255833333,12.9,scold,AC,A,C,0,The waitress scolds the boxer.,The policeman scolds the ballerina,1,1,0
158,5,0my0w2ch20190406,1,1.409166667,9.6175,follow,PC,P,C,1,The ballerina is followed by the pirate.,The nun follows the soldier,1,1,0
159,5,0my0w2ch20190406,1,1.1475,8.798333333,follow,AC,A,C,1,The nun follows the doctor.,The pirate follows the sailor,1,1,0
160,5,0my0w2ch20190406,1,1.635833333,9.231666667,scold,PC,P,C,0,The monk is scolded by the swimmer.,The professor scolds the soldier,1,1,0
161,5,0my0w2ch20190406,1,1.888333333,7.821666667,kiss,AC,A,C,1,The artist kisses the ballerina.,The nun kisses the boxer,1,1,0
162,5,0my0w2ch20190406,1,3.59,12.12083333,touch,PI,P,I,1,The doctor is touchen by the waitress.,The sailor touches the clown,1,1,0
163,5,0my0w2ch20190406,1,2.1575,7.021666667,scold,AC,A,C,1,The policeman scolds the doctor.,The professor scolds the sailor,1,1,0
164,5,0my0w2ch20190406,1,1.814166667,10.53416667,push,PI,P,I,0,The monk is pushen by the policeman.,The cowboy pushes the ballerina,1,1,0
165,5,0my0w2ch20190406,1,1.140833333,9.81,punch,AC,A,C,0,The cowboy punches the nun.,The artist punches the monk,1,1,0
166,5,0my0w2ch20190406,1,1.526666667,6.468333333,kiss,PC,P,C,1,The boxer is kissed by the artist.,The nun kisses the ballerina,1,1,0
167,5,0my0w2ch20190406,1,5.466666667,7.443333333,chase,AC,A,C,1,The nun chases the sailor.,The policeman chases the robber,1,1,0
168,5,0my0w2ch20190406,1,2.074166667,11.43166667,punch,PC,P,C,0,The policeman is punched by the artist.,The cowboy punches the ballerina,1,1,0
169,5,0my0w2ch20190406,1,3.466666667,6.949166667,touch,AI,A,I,0,The waitress touch the professor.,The sailor touches the swimmer,1,1,0
170,5,0my0w2ch20190406,1,2.611666667,7.505,slap,PC,P,C,0,The nurse is slapped by  the policeman.,The cowboy slaps the ballerina,1,1,0
171,5,0my0w2ch20190406,1,1.005833333,8.694166667,kiss,AC,A,C,0,The pirate kisses the clown.,The artist kisses the soldier,1,1,0
172,5,0my0w2ch20190406,1,1.4775,8.409166667,kiss,PC,P,C,0,The monk is kissed by the swimmer.,The artist kisses the clown,1,1,0
173,5,0my0w2ch20190406,1,2.713333333,8.976666667,pull,AI,A,I,1,The boxer pull the soldier.,The pirate pulls the ballerina,1,1,0
174,5,0my0w2ch20190406,1,1.616666667,9.993333333,follow,PC,P,C,0,The ballerina is followed by the pirate.,The nun follows the boxer,1,1,0
175,5,0my0w2ch20190406,1,1.494166667,8.028333333,kick,AI,A,I,1,The policeman kick the boxer.,The waitress kicks the clown,1,1,0
176,5,0my0w2ch20190406,1,2.395,6.870833333,scold,PC,P,C,1,The doctor is scolded by the professor.,The policeman scolds the boxer,1,1,0
177,5,0my0w2ch20190406,1,1.879166667,7.986666667,shoot,AI,A,I,0,The actress shoot the robber.,The chef shoots the boxer,1,1,0
178,5,0my0w2ch20190406,1,5.2425,5.9125,pull,PI,P,I,0,The waitress is pullen by the pirate.,The boxer pulls the clown,1,1,0
179,5,0my0w2ch20190406,1,1.284166667,8.1825,slap,AC,A,C,0,The cowboy slaps the ballerina.,The policeman slaps the boxer,1,1,0
180,5,0my0w2ch20190406,1,1.4475,8.025,punch,PC,P,C,1,The ballerina is punched by the artist.,The cowboy punches the doctor,1,1,0
181,6,0r4tx7u720190406,1,13.105,14.81333333,shoot,AI,A,I,0,The actress shoot the robber.,the chef shoots the boxer,1,1,0
182,6,0r4tx7u720190406,0,6.89,20.36416667,slap,PC,P,C,0,The nurse is slapped by  the policeman.,The dancer is slapped by the cowboy,0,0,0
183,6,0r4tx7u720190406,1,3.231666667,12.41083333,push,AI,A,I,1,The chef push the clown.,the cowboy pushes the swimmer,1,1,0
184,6,0r4tx7u720190406,1,2.5575,10.12833333,pull,PI,P,I,0,The waitress is pullen by the pirate.,the boxer pulls the clown,1,1,0
185,6,0r4tx7u720190406,1,2.4675,8.708333333,chase,AC,A,C,1,The nun chases the sailor.,the cop chases the robber,1,1,0
186,6,0r4tx7u720190406,1,2.92,11.18416667,push,PI,P,I,0,The monk is pushen by the policeman.,the cowboy pushes the dancer,1,1,0
187,6,0r4tx7u720190406,1,2.4725,11.015,tickle,AI,A,I,0,The soldier tickle the boxer.,the waitress tickles the Doctor,1,1,0
188,6,0r4tx7u720190406,1,8.9275,12.48083333,chase,PC,P,C,0,The swimmer is chased by the nun.,the waitress chases the doctor,1,1,0
189,6,0r4tx7u720190406,0,9.8375,9.054166667,follow,AC,A,C,0,The nun follows the cowboy.,the pirate follows the doctor,1,1,0
190,6,0r4tx7u720190406,0,2.52,10.85833333,touch,PI,P,I,1,The doctor is touchen by the waitress.,the clown is touched by the sailor,0,0,0
191,6,0r4tx7u720190406,1,3.958333333,19.57916667,scold,AC,A,C,1,The policeman scolds the doctor.,the professor scolds the sailor,1,1,0
192,6,0r4tx7u720190406,1,2.294166667,10.93833333,chase,PC,P,C,1,The monk is chased by the policeman.,the pirate chases the robber,1,1,0
193,6,0r4tx7u720190406,1,2.813333333,14.5675,slap,AC,A,C,0,The cowboy slaps the ballerina.,the cop slaps the boxer,1,1,0
